CMDLINE c:\users\simon\filestotals\venv\scripts\python.exe app\routes.py
MEM 3.277344 1605006479.2140
MEM 3.277344 1605006479.3235
MEM 3.277344 1605006479.4314
MEM 3.277344 1605006479.5415
MEM 3.277344 1605006479.6506
MEM 3.277344 1605006479.7608
MEM 3.277344 1605006479.8726
MEM 3.277344 1605006479.9817
MEM 3.277344 1605006480.0911
MEM 3.277344 1605006480.1986
MEM 3.277344 1605006480.3077
MEM 3.277344 1605006480.4172
MEM 3.277344 1605006480.5278
MEM 3.277344 1605006480.6359
MEM 3.277344 1605006480.7444
MEM 3.277344 1605006480.8526
MEM 3.277344 1605006480.9626
MEM 3.277344 1605006481.0703
MEM 3.277344 1605006481.1797
MEM 3.277344 1605006481.2882
MEM 3.277344 1605006481.3962
MEM 3.277344 1605006481.5048
MEM 3.277344 1605006481.6135
MEM 3.277344 1605006481.7213
MEM 3.277344 1605006481.8295
MEM 3.277344 1605006481.9381
MEM 3.277344 1605006482.0466
MEM 3.277344 1605006482.1565
MEM 3.277344 1605006482.2662
MEM 3.277344 1605006482.3740
MEM 3.277344 1605006482.4836
MEM 3.277344 1605006482.5925
MEM 3.277344 1605006482.7016
MEM 3.277344 1605006482.8114
MEM 3.277344 1605006482.9209
MEM 3.277344 1605006483.0307
MEM 3.277344 1605006483.1393
MEM 3.277344 1605006483.2506
MEM 3.277344 1605006483.3586
MEM 3.277344 1605006483.4694
MEM 3.277344 1605006483.5794
MEM 3.277344 1605006483.6878
MEM 3.277344 1605006483.7949
MEM 3.277344 1605006483.9037
MEM 3.277344 1605006484.0128
MEM 3.277344 1605006484.1215
MEM 3.277344 1605006484.2306
MEM 3.277344 1605006484.3367
MEM 3.277344 1605006484.4456
MEM 3.277344 1605006484.5552
MEM 3.277344 1605006484.6639
MEM 3.277344 1605006484.7725
MEM 3.277344 1605006484.8815
MEM 3.277344 1605006484.9894
MEM 3.277344 1605006485.0972
MEM 3.277344 1605006485.2046
MEM 3.277344 1605006485.3146
MEM 3.277344 1605006485.4217
MEM 3.277344 1605006485.5306
MEM 3.277344 1605006485.6383
MEM 3.277344 1605006485.7468
MEM 3.277344 1605006485.8555
MEM 3.277344 1605006485.9664
MEM 3.277344 1605006486.0750
MEM 3.277344 1605006486.1835
MEM 3.277344 1605006486.2925
MEM 3.277344 1605006486.4025
MEM 3.277344 1605006486.5112
MEM 3.277344 1605006486.6206
MEM 3.277344 1605006486.7286
MEM 3.277344 1605006486.8387
MEM 3.277344 1605006486.9489
MEM 3.277344 1605006487.0577
MEM 3.277344 1605006487.1676
MEM 3.277344 1605006487.2771
MEM 3.277344 1605006487.3877
MEM 3.277344 1605006487.4970
MEM 3.277344 1605006487.6056
MEM 3.277344 1605006487.7145
MEM 3.277344 1605006487.8236
MEM 3.277344 1605006487.9325
MEM 3.277344 1605006488.0402
MEM 3.277344 1605006488.1499
MEM 3.277344 1605006488.2572
MEM 3.277344 1605006488.3649
MEM 3.277344 1605006488.4744
MEM 3.277344 1605006488.5855
MEM 3.277344 1605006488.6937
MEM 3.277344 1605006488.8035
MEM 3.277344 1605006488.9125
MEM 3.277344 1605006489.0219
MEM 3.277344 1605006489.1311
MEM 3.277344 1605006489.2400
MEM 3.277344 1605006489.3486
MEM 3.277344 1605006489.4553
MEM 3.277344 1605006489.5637
MEM 3.277344 1605006489.6726
MEM 3.277344 1605006489.7826
MEM 3.277344 1605006489.8916
MEM 3.277344 1605006490.0025
MEM 3.277344 1605006490.1111
MEM 3.277344 1605006490.2225
MEM 3.277344 1605006490.3325
MEM 3.277344 1605006490.4426
MEM 3.277344 1605006490.5524
MEM 3.277344 1605006490.6609
MEM 3.277344 1605006490.7698
MEM 3.277344 1605006490.8756
MEM 3.277344 1605006490.9834
MEM 3.277344 1605006491.0915
MEM 3.277344 1605006491.1995
MEM 3.277344 1605006491.3071
MEM 3.277344 1605006491.4156
MEM 3.277344 1605006491.5235
MEM 3.277344 1605006491.6336
MEM 3.277344 1605006491.7426
MEM 3.277344 1605006491.8515
MEM 3.277344 1605006491.9596
